Año,Trimestre,Provincia,Mbps (Media de bajada),Localidad
2020.0,1.0,Tucumán,3.225,Villa José León Suarez
2019.0,4.0,Buenos Aires,3.077,Villa Juan Martín De Pueyrredon
2019.0,4.0,Capital Federal,4.42,Villa Libertad
2019.0,4.0,Catamarca,2.488,Villa Lynch
2019.0,4.0,Chaco,2.337,Villa Maipu
2019.0,4.0,Chubut,699.0,Villa Marqués Alejandro  María De Aguado
2019.0,4.0,Córdoba,2.616,Villa Parque Pres Figueroa Alcorta
2019.0,4.0,Corrientes,1.926,Villa Parque San Lorenzo
2019.0,4.0,Entre Ríos,1.701,Villa San Andrés
2019.0,4.0,Formosa,1.453,Villa Yapeyú
2019.0,4.0,Jujuy,1.296,Baigorrita
2019.0,4.0,La Pampa,653.0,Los Toldos
2019.0,4.0,La Rioja,800.0,Zavalía
2019.0,4.0,Mendoza,779.0,Banderaló
2019.0,4.0,Misiones,2.032,Cañada Seca
2019.0,4.0,Neuquén,2.602,Coronel Charlone
2019.0,4.0,Río Negro,1.718,Emilio V. Bunge
2019.0,4.0,Salta,1.908,General Villegas  (Est. Villegas)
2019.0,4.0,San Juan,604.0,Pichincha
2019.0,4.0,San Luis,2.069,Piedritas
2019.0,4.0,Santa Cruz,521.0,Santa Regina
2019.0,4.0,Santa Fe,2.055,Arroyo Venado
2019.0,4.0,Santiago Del Estero,979.0,Casbas
2019.0,4.0,Tierra Del Fuego,727.0,Guaminí
2019.0,4.0,Tucumán,2.987,Laguna Alsina  (Est. Bonifacio)
2019.0,3.0,Buenos Aires,2.568,Henderson
2019.0,3.0,Capital Federal,3.871,Hurlingham
2019.0,3.0,Catamarca,929.0,Villa Santos Tesei
2019.0,3.0,Chaco,1.999,William C. Morris
2019.0,3.0,Chubut,697.0,Ituzaingó Centro
2019.0,3.0,Córdoba,2.319,Ituzaingó Sur
2019.0,3.0,Corrientes,1.67,OTROS
2019.0,3.0,Entre Ríos,1.47,Villa Gobernador Udaondo
2019.0,3.0,Formosa,1.322,Del Viso
2019.0,3.0,Jujuy,1.197,José C Paz
2019.0,3.0,La Pampa,572.0,Tortuguitas
2019.0,3.0,La Rioja,800.0,Agustín Roca
2019.0,3.0,Mendoza,611.0,Agustina
2019.0,3.0,Misiones,1.793,Balneario Laguna de Gómez
2019.0,3.0,Neuquén,2.375,Fortín Tiburcio
2019.0,3.0,Río Negro,1.598,Junín
2019.0,3.0,Salta,1.475,Laplacette
2019.0,3.0,San Juan,604.0,Morse
2019.0,3.0,San Luis,1.974,Saforcada
2019.0,3.0,Santa Cruz,502.0,Aguas Verdes
2019.0,3.0,Santa Fe,1.817,Las Toninas
2019.0,3.0,Santiago Del Estero,939.0,Lucila Del Mar
2019.0,3.0,Tierra Del Fuego,669.0,Mar de Ajó - San Bernardo
2019.0,3.0,Tucumán,1.932,San Clemente del Tuyú
2019.0,2.0,Buenos Aires,2.248,Santa Teresita - Mar del Tuyú
2019.0,2.0,Capital Federal,3.035,20 De Junio
2019.0,2.0,Catamarca,881.0,Aldo Bonzi
2019.0,2.0,Chaco,1.601,Ciudad Evita
2019.0,2.0,Chubut,605.0,Gonzalez Catán
2019.0,2.0,Córdoba,1.843,Gregorio De Laferrere
2019.0,2.0,Corrientes,1.383,Isidro Casanova
2019.0,2.0,Entre Ríos,1.219,La Tablada
2019.0,2.0,Formosa,1.084,Lomas Del Mirador
2019.0,2.0,Jujuy,1.207,Rafael Castillo
2019.0,2.0,La Pampa,549.0,Ramos Mejía
2019.0,2.0,La Rioja,789.0,San Justo
2019.0,2.0,Mendoza,603.0,Tapiales
2019.0,2.0,Misiones,1.45,Villa  Eduardo Madero
2019.0,2.0,Neuquén,1.724,Villa Luzuriaga
2019.0,2.0,Río Negro,1.163,Virrey Del Pino
2019.0,2.0,Salta,1.255,Abasto
2019.0,2.0,San Juan,612.0,Angel Etcheverry
2019.0,2.0,San Luis,1.988,Arana
2019.0,2.0,Santa Cruz,601.0,Arturo Segui
2019.0,2.0,Santa Fe,1.507,Barrio El Carmen Oeste
2019.0,2.0,Santiago Del Estero,710.0,Barrio El Peligro
2019.0,2.0,Tierra Del Fuego,634.0,Barrio Gambier
2019.0,2.0,Tucumán,1.853,City Bell
2019.0,1.0,Buenos Aires,1.964,colonia la plata
2019.0,1.0,Capital Federal,2.472,El Retiro
2019.0,1.0,Catamarca,796.0,Ignacio Correas
2019.0,1.0,Chaco,1.344,Joaquin Gorina
2019.0,1.0,Chubut,589.0,Jose Hernandez
2019.0,1.0,Córdoba,1.573,Jose Melchor Romero
2019.0,1.0,Corrientes,1.205,La Cumbre
2019.0,1.0,Entre Ríos,1.066,La Plata
2019.0,1.0,Formosa,983.0,Lisandro Olmos
2019.0,1.0,Jujuy,856.0,Los Hornos
2019.0,1.0,La Pampa,506.0,Manuel B Gonnet
2019.0,1.0,La Rioja,709.0,OTROS
2019.0,1.0,Mendoza,574.0,Ringuelet
2019.0,1.0,Misiones,1.251,ruta del sol
2019.0,1.0,Neuquén,1.588,Tolosa
2019.0,1.0,Río Negro,1.049,Transradio
2019.0,1.0,Salta,1.038,Villa Elisa
2019.0,1.0,San Juan,584.0,Villa Elvira
2019.0,1.0,San Luis,871.0,Villa Garibaldi
2019.0,1.0,Santa Cruz,578.0,Villa Montoro
2019.0,1.0,Santa Fe,1.299,Villa Parque Sicardi
2019.0,1.0,Santiago Del Estero,642.0,Gerli
2019.0,1.0,Tierra Del Fuego,634.0,Lanús Este
2019.0,1.0,Tucumán,1.657,Lanús Oeste
